groundtruth,ARGO
4,
7,
11,
29,
56,57.819561573332926
52,54.290761096228465
62,39.330608825480574
85,59.25970241268534
84,63.94445004604751
79,60.94052837002845
66,63.32739243243882
41,68.47696522219573
27,46.47121322955005
46,35.42776414537245
33,47.234159386503066
25,41.112739451469864
29,24.741160389186003
29,26.757328644809547
37,22.363567027746207
26,33.73997335233492
25,22.155526791540822
12,22.30821018510911
6,14.972169453663735
2,13.530948644851312
1,13.05636080690385
0,6.800052136604692
0,3.038788988465068
0,4.2844436756591024
0,7.7204549546288845
0,3.1544282782862823
