groundtruth,ARGO
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
0,
0,
1,
0,
1,
1,
0,
0,
2,
1,
2,
0,
2,
1,
2,
1,
1,
1,
3,
11,-5.673471288554941
6,-24.475247443967945
4,5.7849219650256165
3,6.053467550841549
0,6.28199045664751
6,2.550191203913813
1,0.06769895768134204
1,1.00655882095191
2,1.244685970034125
2,1.6989744757249947
0,0.7319732679214128
2,2.902731592848873
6,0.5518279455926999
1,1.3039144627356918
5,0.8269735039520236
9,1.302045283392356
8,1.0833755117610577
19,1.8792084928422577
25,5.602420277213674
38,16.594403199915064
50,-1.441237399346425
60,63.33092032463836
53,59.510953513292115
47,67.09494642418541
57,76.36128603241703
59,85.7965498649759
58,29.34882603440354
55,51.43145723519135
62,53.62160419172507
55,51.98679455495392
44,54.88360965087485
57,54.500569139101124
38,39.797300594013116
52,61.67879959862398
36,41.96426841312975
57,55.8595029111044
38,32.810237914981116
28,51.94563195610567
25,40.28698080099275
36,29.1093449757139
26,23.028787151395978
41,35.29671453979362
37,27.8370397433345
25,40.07006734070541
27,35.84556964746744
28,19.516729069519748
14,21.958980041836377
11,27.4693367642883
27,12.947116810226246
7,13.635217298837189
29,22.760901606528428
14,11.443088662741124
19,25.60536738772035
18,14.302930208095395
23,16.72668121000103
16,17.03539066352689
15,18.76369930019089
15,13.829642172313651
20,14.071930458789124
9,13.453856923817193
7,18.21739223729
6,8.704083964925212
15,6.7065404948169025
4,6.3743731744832886
13,12.875844312632173
13,5.018040395275614
7,11.443938766070405
7,11.317762567505476
13,7.2262720832157274
11,7.857036434258964
8,12.038586224290771
7,9.29402651710797
5,7.468225744613367
1,7.051424416765151
1,5.323004749638132
