groundtruth,AR,GT,ARGO
2,,,
0,,,
0,,,
2,,,
0,0.6666666666666666,1.0,-0.016606442978619906
2,0.6932046363293413,0.8,-1.1008826805434067
0,0.0008000000000001339,1.0,0.8
1,1.3326666666666667,0.8571428571428571,0.6666666666666663
2,0.6275428891682461,0.875,0.40251981501630296
2,0.20067499999999994,1.0,0.25566134376138616
1,1.0,1.1,0.670367123212003
3,0.9999999999999999,1.0909090909090908,1.0
10,1.1818181818181817,1.2640336729448522,1.2614993300979833
20,1.9166666666666667,1.358669725459586,1.2998534131840576
38,28.65189286094972,3.214285714285715,32.466435078131056
17,72.08799808339907,5.533333333333334,68.82616818452476
9,14.85456870939339,6.25,6.533333333333334
15,8.577354175840227,6.411764705882353,6.6875
7,13.169634563522326,6.888888888888889,7.1764705882352935
14,7.240902483670836,6.894736842105263,7.16666666666667
13,11.666418159051606,7.25,9.113474419389842
27,9.125939065243017,7.523809523809524,7.8
27,14.720040997326283,8.409090909090908,8.714285714285712
28,23.61331739361121,9.217391304347826,21.088723012697734
42,25.14718645458649,10.0,24.409602228768648
32,40.30890870488323,11.28,38.937726866369026
37,29.633974549807824,12.076923076923077,28.489540930919958
25,34.92021299748281,12.999999999999998,34.67580739820445
48,23.60889002612571,13.428571428571429,23.170727799876815
26,45.145915228986276,14.620689655172415,44.55862590617891
58,24.15705036756296,15.0,23.856660646662448
38,52.33821315592605,16.387096774193548,52.20708481650898
23,33.76849168581728,17.0625,33.4674661243037
21,22.01679171687746,17.242424242424242,21.46897159749418
17,20.535626385004353,17.352941176470587,20.48696134402607
0,17.53940735330636,17.34285714285714,20.339785796103207
