groundtruth,ARGO
684,
684,
684,
1027,
1483,
1369,
2053,1649.3872885401329
1369,2141.041659837495
913,2122.3405971632315
1141,1679.9385943175766
684,1159.3931756914424
798,1412.3089236634469
684,1713.4235559576005
684,1132.4921772903415
456,1109.5454545454543
456,1074.0833333333333
684,1026.5384615384614
684,985.7857142857143
456,965.6666666666666
228,948.0624999999999
456,919.1176470588235
0,880.722222222222
456,604.3668138334476
228,244.75925949445013
228,539.0464485713237
228,385.1742019562738
684,358.91610999950046
3422,345.67331186901447
11635,1825.4941708542403
22129,3604.6886111283065
24183,12962.189624152865
31255,1975.6785714285713
38783,53478.38157627538
44715,49028.88221808696
47681,61735.36574031242
50646,67637.09156112495
47909,66315.54443386143
43118,65595.6563379732
42890,58028.421560261035
40837,48568.05405004611
38099,46563.16697827973
36502,43707.38175975957
36730,40144.359552576934
38783,38020.9904050914
35361,37945.68393036329
40608,40028.0711074425
37643,36241.864134898366
36274,40947.98746533935
33764,38201.13228405811
31255,36028.103711959935
28517,32989.30198579571
23042,30612.311604690563
21901,27728.485159246
19620,22855.572800595273
17795,21754.102033751627
16198,19917.30049440964
13004,18386.360338157912
