groundtruth,AR,GT,ARGO
2,,,
0,,,
0,,,
2,,,
0,,,
2,,,
0,0.6666666666666666,0.8,-0.10388550774200894
1,1.0,1.0,0.9999999999999999
2,0.8,0.8571428571428571,0.8
2,0.8333333333333334,0.875,0.6388070023851387
1,1.0,1.0,1.0
3,1.125,1.1,1.125
10,1.1111111111111112,1.0909090909090908,1.1111111111111112
20,1.4944681805329294,1.225636334402743,1.3
38,2.090909090909091,1.1105162866534264,1.2920776785332309
17,22.657362481153513,3.214285714285715,3.583333333333334
9,140.6170434992394,5.533333333333334,130.1175131162106
15,24.501985024958405,6.250000000000001,7.0
7,8.403549061693642,6.411764705882353,7.133333333333334
14,11.040967434411225,6.888888888888889,8.167637877428598
13,7.8034737002765855,6.894736842105263,7.588235294117647
27,10.64400641434085,7.25,7.944444444444445
27,9.161197932402947,7.523809523809524,8.210526315789474
28,12.284201980863447,8.409090909090908,9.15
42,14.634158231363243,9.217391304347826,10.0
32,10.818181818181818,9.999999999999998,10.818181818181817
37,35.93588010996075,11.28,12.173913043478262
25,29.81402547770701,12.076923076923077,29.287784075483025
48,33.51739822065402,12.999999999999998,33.09253257442479
26,23.923037118846462,13.428571428571429,22.718588477005397
58,44.109420086061164,14.620689655172415,43.953452746059625
38,26.246944918183914,14.999999999999998,25.731492370423418
23,56.07052722798085,16.387096774193548,55.899926874178405
21,39.03290018168216,17.0625,38.693109650737355
17,23.126532317694128,17.242424242424242,23.09995837007069
0,21.127258695219563,17.352941176470587,24.343897594785435
