groundtruth,AR,GT,ARGO
4,,,
7,,,
11,,,
29,,,
56,,,
52,,,
62,345.389,40.908696548370095,60.98589360486489
85,68.43928718735594,69.32197872667352,55.76554896816828
84,63.99583676212618,56.70410287751173,57.78565023421044
79,99.77289002309321,37.8570297174269,33.45009017268183
66,103.31663252656435,42.652363897932766,59.27368391465512
41,87.74192399502527,53.339967597385076,83.59978911334888
27,72.27911297852475,49.85286076661379,67.48597253848384
46,56.128068530090886,41.29499250935973,42.41468515180164
33,53.81818181818182,44.99488560406123,39.85765674294275
25,53.166666666666664,44.91728237123176,47.20302506944141
29,45.7438699981238,22.989256070170338,31.25397647803876
29,40.3253182854579,22.407868437139214,28.875919178754412
37,40.79588129457203,17.21923541656205,15.206141337520545
26,41.813238545302966,24.418155993415233,23.108957729563024
25,44.25629754772754,17.935157804124295,22.649054843545652
12,38.95719809469611,19.355230385510314,19.089716858497034
6,39.656934011850524,20.334631563895783,24.19701225851441
2,35.32216260881438,20.40911056132235,22.42914686762907
1,30.938331780308786,22.502877689425606,22.54429527217131
0,20.522482557368665,16.724485485777123,15.755991331159752
0,14.78909816022811,10.782037430486811,8.41307264362916
0,11.206949584730932,11.050738766447802,8.759733205926366
0,9.264345483082625,17.42323476571066,11.559247895861146
0,8.294015688726635,12.085904978493001,7.196835304184983
