2019,02/04,0.00020119752768478
2019,02/08,0.000569897988260101
2019,02/11,0.000111906830848908
2019,02/28,0.000571783076936272
2019,03/04,0.000224328416802198
2019,03/07,0.00155844560635222
2019,03/08,0.000355257455077695
2019,03/12,0.000410610166707728
2019,03/14,0.00269461884616421
2019,03/15,0.00108409897823671
2019,03/17,0.00570759966895922
2019,03/18,0.0048101899062975
2019,03/19,0.0209513463179949
2019,03/20,0.0361605866424475
2019,03/21,0.0424844223784612
2019,03/22,0.0694618098969187
2019,03/23,0.22853557985302
2019,03/24,0.401169511117155
2019,03/25,0.233914935059025
2019,03/26,0.236627593640528
2019,03/27,0.27509644653525
2019,03/28,0.131358096767131
2019,03/29,0.177083610026474
2019,03/30,0.247000167716163
2019,03/31,0.197805222057862
2019,04/01,0.176780364353635
2019,04/02,0.18731092785214
2019,04/03,0.16122098022356
2019,04/04,0.0587457776472316
2019,04/05,0.054563950799963
2019,04/06,0.0728230554694763
2019,04/07,0.0734556399598681
2019,04/08,0.0735080586612458
2019,04/09,0.0471815460105858
2019,04/10,0.0772236551500456
2019,04/11,0.037830262490435
2019,04/12,0.0350972632908949
2019,04/13,0.0305343511450382
2019,04/14,0.0457934167384097
2019,04/15,0.0447823674295895
2019,04/16,0.0486462911396652
2019,04/17,0.0302018490243125
2019,04/18,0.0191033073639097
2019,04/19,0.0244029594134416
2019,04/20,0.0339380476366778
2019,04/21,0.0175248534284986
2019,04/22,0.00805433994684136
2019,04/23,0.0122710141116662
2019,04/24,0.0266713341501429
2019,04/25,0.0547986780872732
2019,04/26,0.0347357908905388
2019,04/27,0.0225005625140629
2019,04/28,0.0367843151680124
2019,04/29,0.106524118028723
