date,plague,pesta,peste pulmonaire,peste madagascar,peste
8/7/17,30,0,0,0,0
8/14/17,0,0,0,0,0
8/21/17,0,0,0,0,1
8/28/17,0,0,0,0,0
9/4/17,0,0,0,0,0
9/11/17,41,20,149,54,100
9/18/17,0,0,21,0,5
9/25/17,26,0,55,44,52
10/2/17,321,309,230,355,294
10/9/17,172,294,66,184,168
10/16/17,198,164,35,189,110
10/23/17,122,40,16,94,65
10/30/17,220,65,9,66,47
11/6/17,68,0,3,39,19
11/13/17,63,0,4,12,15
11/20/17,46,19,0,16,5
